ID,ride_time,dispatch_time,ride_lat,ride_lon,alight_lat,alight_lon,taxi_type,type
138,1405,0,37.40075574,127.1062677,37.44531171,127.13162894,1,0
139,1387,0,37.39536667,127.10974121,37.51571655,126.76856232,1,0
140,1410,0,37.42938995,127.14961243,37.4443512,127.16964722,1,0
141,1409,0,37.39680099,127.12817383,37.35391617,127.1462326,1,0
142,1411,0,37.37391136,127.14729616,37.41164603,127.12886942,1,0
143,1415,0,37.36959457,127.13399506,37.39321518,127.12807465,1,0
144,1403,0,37.38345182,127.12354249,37.29810069,127.23501892,1,0
145,1417,0,37.43972778,127.17880249,37.45897675,127.16483307,1,0
146,1410,0,37.41476822,127.13913727,37.4457016,127.1651535,1,0
147,1414,0,37.44250634,127.13717203,37.43632234,127.15813001,1,0
148,1416,0,37.36326981,127.10688019,37.38645172,127.12438202,1,0
149,1414,0,37.43246157,127.12892354,37.44495429,127.15830408,1,0
150,1418,0,37.44092941,127.12763977,37.43384933,127.13087463,1,0
151,1413,0,37.42999649,127.15226746,37.44701385,127.16882324,1,0
152,1392,0,37.41275693,127.13046526,37.27036347,127.00258912,1,0
153,1397,0,37.43989182,127.17241669,37.55820084,127.08015442,1,0
154,1384,0,37.39433289,127.10969543,37.17556381,127.11067963,1,0
155,1417,0,37.45192195,127.14899002,37.45774754,127.16159383,1,0
156,1411,0,37.40208298,127.10107544,37.41142242,127.13294562,1,0
157,1411,0,37.38304901,127.12850189,37.42805099,127.09586334,1,0
158,1383,0,37.39576721,127.11265564,37.65470886,126.68540955,1,0
159,1422,0,37.44620895,127.13461304,37.45081711,127.13801575,1,0
160,1418,0,37.39525798,127.10967316,37.38256052,127.09390488,1,0
161,1417,0,37.44058228,127.12586975,37.4472847,127.13798523,1,0
162,1402,0,37.37397843,127.13181612,37.28752254,127.06256998,1,0
163,1418,0,37.37639999,127.11105347,37.39156342,127.05627441,1,0
164,1416,0,37.4010645,127.10614269,37.4363945,127.14157072,1,0
165,1411,0,37.44041596,127.13010568,37.41046002,127.23651136,1,0
166,1411,0,37.41282513,127.12952993,37.32049547,127.11018288,1,0
167,1417,0,37.35524133,127.11768308,37.38431138,127.12013966,1,0
168,1421,0,37.44861048,127.13311941,37.44303631,127.14292819,1,0
169,1420,0,37.37070152,127.11532226,37.38071519,127.10460316,1,0
170,1404,0,37.43188858,127.12914276,37.37307358,127.17512512,1,0
171,1414,0,37.39694214,127.11368561,37.35539627,127.14414978,1,0
172,1410,0,37.41287231,127.13046709,37.45064151,127.14613398,1,0
173,1421,0,37.44603416,127.14527895,37.43545168,127.13986734,1,0
174,1422,0,37.46707153,127.12753296,37.45490646,127.14968109,1,0
175,1418,0,37.4321013,127.15998574,37.45261194,127.16788477,1,0
176,1424,0,37.38341141,127.12163544,37.39929962,127.12151337,1,0
177,1398,0,37.39623077,127.1111177,37.59822742,127.13065104,1,0
178,1414,0,37.45991477,127.12669393,37.51295164,127.09858775,1,0
179,1424,0,37.44497681,127.15761566,37.44067383,127.16820526,1,0
180,1425,0,37.40649822,127.14774216,37.40978495,127.13067565,1,0
181,1407,0,37.39570631,127.11283418,37.53912109,127.12208203,1,0
182,1413,0,37.35004251,127.10677932,37.3171513,127.06288112,1,0
183,1397,0,37.37907247,127.11558154,37.30833582,127.08187558,1,0
184,1412,0,37.40257303,127.1096646,37.48338792,126.99712769,1,0
185,1418,0,37.3868575,127.12491855,37.41271446,127.09833967,1,0
186,1424,0,37.41014209,127.140443,37.42234578,127.17361665,1,0
187,1413,0,37.43575009,127.14039707,37.43810434,127.16004639,1,0
188,1413,0,37.37064362,127.11322021,37.45658875,127.16674805,1,0
189,1419,0,37.41234182,127.129092,37.4486678,127.15568687,1,0
190,1428,0,37.43909907,127.13789568,37.4337776,127.12956447,1,0
191,1413,0,37.42956873,127.14960636,37.43007921,127.23352681,1,0
192,1428,0,37.34228516,127.10910797,37.34554672,127.11480713,1,0
193,1421,0,37.43228073,127.12921403,37.39104703,127.11405005,1,0
194,1409,0,37.39981838,127.10786229,37.30020195,127.04335226,1,0
195,1417,0,37.39471817,127.12120819,37.3651886,127.16014862,1,0
